Trialid,expTime,gambleDelay,gambleRT,outcomeRT,response,standardGamble,trialNumber,uniqueid
2,,0,0,717,success,2,87,245
23,,3072.820675,0,746,success,3,88,245
22,,6192.887642,0,564,success,2,89,245
33,,4842.790269,0,646,success,3,90,245
6,,6105.267565,0,738,success,6,91,245
33,,1013.144801,0,521,success,3,92,245
5,,6283.419208,0,463,success,5,93,245
4,,6138.238733,0,566,success,4,94,245
35,,6020.222091,917,0,gamble,5,95,245
24,,5988.31486,0,0,earlyFail,4,96,245
4,,911.9291561,0,729,success,4,97,245
26,,4825.171827,0,730,success,6,98,245
35,1781430,2979.022967,0,770,success,5,99,245
34,,6016.392661,0,0,earlyFail,4,1,246
5,,0,0,473,success,5,2,246
36,,5979.383728,481,0,gamble,6,3,246
2,,3033.733475,731,0,gamble,2,4,246
25,,6093.698339,586,0,gamble,5,5,246
34,,1141.225252,925,0,gamble,4,6,246
26,,4811.855222,786,0,gamble,6,7,246
25,,3084.196467,696,0,gamble,5,8,246
21,,3008.337077,788,0,gamble,1,9,246
32,,5178.820887,505,0,gamble,2,10,246
4,,0,0,412,success,4,11,246
21,,5725.370095,753,0,gamble,1,12,246
1,,917.8028447,768,0,gamble,1,13,246
1,,5873.868835,586,0,gamble,1,14,246
1,,5982.424994,656,0,gamble,1,15,246
21,,5955.83909,833,0,gamble,1,16,246
32,,3124.525267,672,0,gamble,2,17,246
22,,1062.495041,690,0,gamble,2,18,246
3,,1018.335488,745,0,gamble,3,19,246
34,,6276.933925,543,0,gamble,4,20,246
6,,1094.990849,888,0,gamble,6,21,246
33,,5127.073548,508,0,gamble,3,22,246
3,,0,0,404,success,3,23,246
2,,5777.941968,0,0,earlyFail,2,24,246
34,,3070.336089,624,0,gamble,4,25,246
22,,5860.277378,586,0,gamble,2,26,246
21,,6166.809012,518,0,gamble,1,27,246
31,,4689.603176,603,0,gamble,1,28,246
23,,3069.516357,439,0,gamble,3,29,246
1,,0,0,379,success,1,30,246
2,,898.9841234,0,0,earlyFail,2,31,246
21,,1054.539107,766,0,gamble,1,32,246
31,,6215.607337,0,348,success,1,33,246
34,,5864.711876,428,0,gamble,4,34,246
32,,4802.004445,0,0,earlyFail,2,35,246
6,,6269.83902,510,0,gamble,6,36,246
2,,3992.937869,540,0,gamble,2,37,246
